track_id,track_name,track_artists
5vph4KmP15IRBLRPPsLnRo,Not A Damn Thing Changed,Lukas Graham
40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I","G-Eazy,Bebe Rexha"
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan
31VOknKjFrEX47bZXzqcoF,Next To Me,Imagine Dragons
1aOl53hkZGHkl2Snhr7opL,How Do I Say Goodbye,Dean Lewis
67WTwafOMgegV6ABnBQxcE,Some Nights,fun.
3IAp6klqCewHwWW5gj8Suh,Red Wine,Lukas Graham
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid
2glGP8kEfACgJdZ86kWxhN,Are You With Me - Radio Edit,Lost Frequencies
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"Camila Cabello,Young Thug"
4zOZb2HMmV81WVG3wrmrLZ,Girls Like You,Maroon 5
5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie
794tmuXAOSHhC4tDrkc2IX,Mama Said,Lukas Graham
3NLnwwAQbbFKcEcV8hDItk,Perfect,One Direction
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),"B.o.B,Hayley Williams"
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood
4r1CoAATVuxag55Ct3Y1aX,I'll Be There,Jess Glynne
1NhPKVLsHhFUHIOZ32QnS2,Secrets,OneRepublic
2WA8PQfkR9thucSjuPFQ9K,Some Days,Brent Morgan
6MoMWPnwZSgTEfxN0juYg0,I Hope You Dance - Acoustic,"Landon Austin,Victoria Rylee Burchfield"
4BVhGaEUg8qZNfEGDOOcX5,"Agar Tu Hota (From ""Baaghi"")",Ankit Tiwari
1ta4dXJWUuo9p62fATFqrm,Aaj Ke Baad,"Manan Bhardwaj,Tulsi Kumar"
3yuIvz5stb9v9cljhZ5Zas,If You Love Her - feat. Meghan Trainor,"Forest Blakk,Meghan Trainor"
3gq98hzXfMGQ5VFIGJ1DoB,Never Been in Love,Haley Mae Campbell
0NapkeC45rszeuSgbvcjx4,Maan Meri Jaan (Afterlife),"King,Nick Jonas"
5Tkf5CbtVYHA1SiKo1NrJE,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar,Arijit Singh,Amitabh Bhattacharya"
4YwIOEhqg57IX2QasbetBi,It's Ok If You Forget Me,Astrid S
395KzBy0bkb57dEvg6cfzJ,Falling Like The Stars,James Arthur
4hTIL3DCwfqwSuqRAnyJdy,"Yaar Ve (From ""Code Name Tiranga"")","Arijit Singh,Vipin Patwa,Kumaar"
1nvvaiJbrhCkM3Az74N1pM,Ranjha - Sid X Kiara Version,"Jasleen Royal,Prerna Arora,Ashwani Basoya"
04zpnoSROKFTCfgkoPcZ5A,I'll Be Waiting,Cian Ducrot
2ZD4aIEepqZsdxPxLSuUhm,Tere Pyaar Mein,"Pritam,Arijit Singh,Amitabh Bhattacharya,Nikhita Gandhi"
3sqrvkNC6IPTIXvvbx9Arw,Enchanted,Taylor Swift
6t2kGTgrIoWOrIVntGoN0A,"Saavariya - From ""Aum Mangalam Singlem""","Niren Bhatt,Varun Jain,Sachin-Jigar"
2vPrBucKCfKmafHhSfJ2pt,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")","Pritam,Arijit Singh,Amitabh Bhattacharya,Charan"
39OclE5hZematADrdfaWvE,Next Thing You Know,Jordan Davis
6TRt2bniIq0EIlrDlje7b8,First Man,Camila Cabello
3zAXHUL5YcYOA41rruvjy4,Manchala,"Vishal-Shekhar,Shafqat Amanat Ali,Nupur Pant"
7ClqKkywpMLbBJ6L52S6RL,"Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam,Shahid Mallya,Amitabh Bhattacharya"
5Tc2hNyood20vuKm89NeCf,It's Always Been You,Phil Wickham
38h4tmH1AWBVuemWAy4R4y,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam,Arijit Singh,Shreya Ghoshal,Amitabh Bhattacharya"
3nRTgSjfIrqxIMpDrCD0XA,It's You,Daniel Shaw
2pY0EPtqQb0GJGUY7EzxqP,Do It Like A Girl,Morgan St. Jean
5YVmHTAsdWnoanWXB7AwZX,like my father,Jax
6GZIAVSu0YXF7FYzyRl1MP,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar,Varun Jain,Shadab Faridi,Altamash Faridi,Amitabh Bhattacharya"
6iT0ZdQcHwzQDNcAC2oDKX,ilym (feat. ROSIE),"John K,ROSIE"
219slQu3ALbTSAe9P22hvE,Happiest Year,Jaymes Young
6O5TrlFWTYvznd9fMC0VvU,When We Were Young,Adele
2fMlezwwP5Hr1UwuAknN4o,"Tose Naina (From ""Mickey Virus)",Arijit Singh
6feiJqgHqeSvkGUzf11AYs,Remember (with David Guetta),"Becky Hill,David Guetta"
7FKkswFflI5Txc3Y4gH0IB,see you later (ten years),Jenna Raine
2L7LV1tXifls6hB1CdUSFl,Always been you,Jackson Gleaves
3lFvgGhin8RuplMTfKlhSF,Still Into You,Dylan Brady
4ewazQLXFTDC8XvCbhvtXs,Glimpse of Us,Joji
7F1CiKqrY44kh5cDqwHOnx,Love Is Gone - Acoustic,"SLANDER,Dylan Matthew"
0B7wvvmu9EISAwZnOpjhNI,When I Was Your Man,Bruno Mars
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")","Jasleen Royal,B Praak,Romy,Anvita Dutt"
3KeMulXbLDJBQdY5PZbGEh,Param Sundari,"A.R. Rahman,Shreya Ghoshal"
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez,Em Beihold"
1oQRhjoum0RXwBsuxMAvwT,My Home,AWIN
38TO59989lXAdlTJfEzGeg,"Jaan Hai Meri (From ""Radhe Shyam"")","Amaal Mallik,Armaan Malik,Rashmi Virag"
1TtXTxQoYRLkXIT5Lb6QTI,"Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam,TUSHAR JOSHI,Shreya Ghoshal,Amitabh Bhattacharya"
2PR4jVXzyjCky2PkONvipq,Favorite T-Shirt - Acoustic,Jake Scott
3XjAgiBvWBKu1tHSLTgffX,Keep Your Head Up Princess,Anson Seabra
5AWVGdsk88fcsrssrAdyEN,Fall Into Me,Forest Blakk
1dB1kzLOjTcmSHttRd8bnV,I GUESS I'M IN LOVE,Clinton Kane
3rQDMaRia4W2M0Fliv9J4I,"Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")","Pritam,Shreya Ghoshal,Amitabh Bhattacharya,Divya Kumar"
0OCRwXbQRdOZ1OtB4Imsp1,Love Someone,Lukas Graham
0n3pKT2HiMJGxoAYgyezBV,Tell Me That You Love Me,James Smith
0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),"Sam Smith,Kim Petras"
52Mwe2iVyOtsGEmZNCh5jy,What Dreams Are Made Of,Brent Morgan
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet
46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele
6lY36UhtKLMIMdnVRFVvBj,All I Need,Foster
